Auth window: incorrect login or password			14:20:16
Auth window: incorrect login or password			14:20:21
Radio button 'payment = not important' checked				14:20:24
Radio button 'count of people needed = not important' checked				14:20:24
Auth window: User with ID=1 authorized				14:20:24
Auth window closed with authorization				14:20:24
Radio button 'payment = not important' checked				14:21:34
Radio button 'count of people needed = not important' checked				14:21:34
Auth window: User with ID=1 authorized				14:21:34
Auth window closed with authorization				14:21:34
Radio button 'payment = not important' checked				14:22:13
Radio button 'count of people needed = not important' checked				14:22:13
Auth window: User with ID=1 authorized				14:22:14
Auth window closed with authorization				14:22:14
Radio button 'payment = not important' checked				14:22:42
Radio button 'count of people needed = not important' checked				14:22:42
Auth window: User with ID=1 authorized				14:22:42
Auth window closed with authorization				14:22:42
Radio button 'payment = not important' checked				14:26:30
Radio button 'count of people needed = not important' checked				14:26:30
Auth window: User with ID=1 authorized				14:26:31
Auth window closed with authorization				14:26:31
Auth window closed without authorization				15:17:19
Radio button 'payment = not important' checked				15:22:31
Radio button 'count of people needed = not important' checked				15:22:31
Auth window: User with ID=1 authorized				15:22:31
Auth window closed with authorization				15:22:31
Auth window closed without authorization				15:37:54
